event_name,state_name,player_name,score
Recurve Men Individual,TAMIL NADU,SMARAN SARVESH L R,661
Recurve Men Individual,UTTAR PRADESH,AMAN YADAV,660
Recurve Men Individual,UTTAR PRADESH,ROHIT KUMAR,659
Recurve Men Individual,DELHI,DHRUV BAGGA,657
Recurve Men Individual,HARYANA,DIVYANSH CHAUDHARY,656
Recurve Men Individual,UTTARAKHAND,HARSHIT KUMAR,655
Recurve Men Individual,UTTARAKHAND,KARTIK RANA,653
Recurve Men Individual,JHARKHAND,SHREY BHARDWAJ,652
Recurve Men Individual,ASSAM,JAYANTA TALUKDAR,650
Recurve Men Individual,UTTARAKHAND,JITENDER RAWAT,648
Recurve Men Individual,SIKKIM,TARUN RAI,682
Recurve Men Individual,WEST BENGAL,JUYEL SARKAR,682
Recurve Men Individual,MADHYA PRADESH,AMIT KUMAR,679
Recurve Men Individual,MANIPUR,TAKHELLAMBAM MEITEI,665
Recurve Men Individual,SERVICES SPORTS CONTROL BOARD,BOMMADEVARA DHIRAJ,690
Recurve Men Individual,SERVICES SPORTS CONTROL BOARD,RAHUL,677
Recurve Men Individual,UTTAR PRADESH,NEERAJ CHAUHAN,675
Recurve Men Individual,JHARKHAND,GOLDI MISHRA,671
Recurve Men Individual,HARYANA,PARAS HOODA,671
Recurve Men Individual,SERVICES SPORTS CONTROL BOARD,INDRA INDRA,671
Recurve Men Individual,UTTARAKHAND,ATUL VERMA,668
Recurve Men Individual,HARYANA,AGASTAY SINGH,667
Recurve Men Individual,RAJASTHAN,MAHESH KUMAWAT,666
Recurve Men Individual,ASSAM,BISHAL CHANGMAI,665
Recurve Men Individual,SERVICES SPORTS CONTROL BOARD,SUKHCHAIN SINGH,664
Recurve Men Individual,HARYANA,BASANT KUMAR,662
Recurve Men Individual,MIZORAM,SACHIN VEDWAN,658
Recurve Men Individual,TAMIL NADU,SMARAN SARVESH L R,661
Recurve Men Individual,MAHARASHTRA,SHUKMANI BABREKAR,655
Recurve Men Individual,ANDHRA PRADESH,KODANDAPANI JATHYA,649
Recurve Men Individual,CHHATTISGARH,GITESH YADAV,649
Recurve Men Individual,ODISHA,ARJUNA KHARA,648
Recurve Men Individual,MEGHALAYA,DEVRAJ MOHAPATRA,611
Recurve Men Individual,DELHI,ANSH SINGH TANWAR,647
Recurve Men Individual,UTTAR PRADESH,MRINAL CHAUHAN,645
Recurve Men Individual,ASSAM,PRODUCTION BORGOYARI,644
Recurve Men Individual,JHARKHAND,VISHNU CHOUDHARY,640
Recurve Men Individual,MAHARASHTRA,UJWAL OLEKAR,645
Recurve Men Individual,ANDHRA PRADESH,RAIROTH SAIMOURYA,644
Recurve Men Individual,MADHYA PRADESH,PAVAN PARMAR,643
