event_name,name,state_unit
43rd NTPC Junior National(M&W) Archery Championship - RECURVE MEN,RAIROTH SAI MOURYA,Andhra Pradesh
43rd NTPC Junior National(M&W) Archery Championship - RECURVE MEN,KODANDAPANI THARUNEESH JATHYA,Andhra Pradesh
43rd NTPC Junior National(M&W) Archery Championship - RECURVE MEN,MUKALLA JAYANDRA NAIDU,Andhra Pradesh
43rd NTPC Junior National(M&W) Archery Championship - RECURVE MEN,YERUKONDA YASASVI SRI DATTA,Andhra Pradesh
43rd NTPC Junior National(M&W) Archery Championship - RECURVE MEN,Anish singh,Arunachal Pradesh
43rd NTPC Junior National(M&W) Archery Championship - RECURVE MEN,Bishal changmai,Assam
43rd NTPC Junior National(M&W) Archery Championship - RECURVE MEN,Adrita ghosh,Assam
43rd NTPC Junior National(M&W) Archery Championship - RECURVE MEN,Hitaditya Das,Assam
43rd NTPC Junior National(M&W) Archery Championship - RECURVE MEN,ZEENAL THAKURIA,Assam
43rd NTPC Junior National(M&W) Archery Championship - RECURVE MEN,Shubham Kumar,Bihar
43rd NTPC Junior National(M&W) Archery Championship - RECURVE MEN,Samarth Kumar,Bihar
43rd NTPC Junior National(M&W) Archery Championship - RECURVE MEN,Dhiraj Kumar Roy,Bihar
43rd NTPC Junior National(M&W) Archery Championship - RECURVE MEN,Ansh Singh,Bihar
43rd NTPC Junior National(M&W) Archery Championship - RECURVE MEN,Divyansh Kumar,Chandigarh
43rd NTPC Junior National(M&W) Archery Championship - RECURVE MEN,Daksh Sehrawat,Chandigarh
43rd NTPC Junior National(M&W) Archery Championship - RECURVE MEN,Abhishek Singh Tanwar,Chandigarh
43rd NTPC Junior National(M&W) Archery Championship - RECURVE MEN,Siddh Sehrawat,Chandigarh
43rd NTPC Junior National(M&W) Archery Championship - RECURVE MEN,KUBER SINGH JAGAT,Chhattisgarh
43rd NTPC Junior National(M&W) Archery Championship - RECURVE MEN,Tarun Jangde,Chhattisgarh
43rd NTPC Junior National(M&W) Archery Championship - RECURVE MEN,SANJAY SONWANI,Chhattisgarh
43rd NTPC Junior National(M&W) Archery Championship - RECURVE MEN,DEVENDRA KUMAR,Chhattisgarh
43rd NTPC Junior National(M&W) Archery Championship - RECURVE MEN,Prathit Rajendra Rasulia,Daman& Diu
43rd NTPC Junior National(M&W) Archery Championship - RECURVE MEN,Harshit Pal,Delhi
43rd NTPC Junior National(M&W) Archery Championship - RECURVE MEN,Aryan Dabas,Delhi
43rd NTPC Junior National(M&W) Archery Championship - RECURVE MEN,Ujjwal dhama,Delhi
43rd NTPC Junior National(M&W) Archery Championship - RECURVE MEN,Dhruv bagga,Delhi
43rd NTPC Junior National(M&W) Archery Championship - RECURVE MEN,Rathod pruthviraj Hardevsinh,Gujarat
43rd NTPC Junior National(M&W) Archery Championship - RECURVE MEN,Rathod parthivrajsinh hardevsinh,Gujarat
43rd NTPC Junior National(M&W) Archery Championship - RECURVE MEN,DUBHIL REVJIBHAI TEJIYABHAI,Gujarat
43rd NTPC Junior National(M&W) Archery Championship - RECURVE MEN,Bhil prakash,Gujarat
43rd NTPC Junior National(M&W) Archery Championship - RECURVE MEN,Rahul,Haryana
43rd NTPC Junior National(M&W) Archery Championship - RECURVE MEN,Paras hooda,Haryana
43rd NTPC Junior National(M&W) Archery Championship - RECURVE MEN,Aryan Ranjan,Haryana
43rd NTPC Junior National(M&W) Archery Championship - RECURVE MEN,Agastay singh,Haryana
43rd NTPC Junior National(M&W) Archery Championship - RECURVE MEN,Goldi Mishra,Jharkhand
43rd NTPC Junior National(M&W) Archery Championship - RECURVE MEN,Dinesh Murmu,Jharkhand
43rd NTPC Junior National(M&W) Archery Championship - RECURVE MEN,Vishnu Choudhary,Jharkhand
43rd NTPC Junior National(M&W) Archery Championship - RECURVE MEN,Mrinal Chauhan,Jharkhand
43rd NTPC Junior National(M&W) Archery Championship - RECURVE MEN,Mohammed Ashar. A,Kerala
43rd NTPC Junior National(M&W) Archery Championship - RECURVE MEN,Sonu v,Kerala
43rd NTPC Junior National(M&W) Archery Championship - RECURVE MEN,diljith,Kerala
43rd NTPC Junior National(M&W) Archery Championship - RECURVE MEN,Amit kumar,Madhya Pradesh
43rd NTPC Junior National(M&W) Archery Championship - RECURVE MEN,Nitin Kumar Yadav,Madhya Pradesh
43rd NTPC Junior National(M&W) Archery Championship - RECURVE MEN,RAHUL YADAV,Madhya Pradesh
43rd NTPC Junior National(M&W) Archery Championship - RECURVE MEN,Sunny Yadav,Madhya Pradesh
43rd NTPC Junior National(M&W) Archery Championship - RECURVE MEN,DNYANESH BALAJI CHERALE,Maharashtra
43rd NTPC Junior National(M&W) Archery Championship - RECURVE MEN,ADITYA MAHADEV JADHAV,Maharashtra
43rd NTPC Junior National(M&W) Archery Championship - RECURVE MEN,kunal,Maharashtra
43rd NTPC Junior National(M&W) Archery Championship - RECURVE MEN,Rayyan Taufeeq Siddiqui,Maharashtra
43rd NTPC Junior National(M&W) Archery Championship - RECURVE MEN,Balram Singh,Jammu& Kashmir
43rd NTPC Junior National(M&W) Archery Championship - RECURVE MEN,HRITHICK S M,Pondicherry
43rd NTPC Junior National(M&W) Archery Championship - RECURVE MEN,Satyam,Uttarakhand
43rd NTPC Junior National(M&W) Archery Championship - RECURVE MEN,akoijam amarjit singh,Manipur
43rd NTPC Junior National(M&W) Archery Championship - RECURVE MEN,Md Amir Arshad Khan,Manipur
43rd NTPC Junior National(M&W) Archery Championship - RECURVE MEN,Keithellakpam Rohit Meitei,Manipur
43rd NTPC Junior National(M&W) Archery Championship - RECURVE MEN,Ningthoujam parithoi singh,Manipur
43rd NTPC Junior National(M&W) Archery Championship - RECURVE MEN,Amebalaker wanniang,Meghalaya
43rd NTPC Junior National(M&W) Archery Championship - RECURVE MEN,Vivek Sunar,Meghalaya
43rd NTPC Junior National(M&W) Archery Championship - RECURVE MEN,Devraj Mohaptra,Meghalaya
