championship_name,event,round_name,player_a,player_a_country,score_a,player_b,player_b_country,score_b,winner,winner_country
World Archery Championship 2021,Compound Women,Round of 96,Danelle Wentzel-Lutz,RSA,0,BYE,,0,Danelle Wentzel-Lutz,RSA
World Archery Championship 2021,Compound Women,Round of 96,BYE,,0,Erika Damsbo,DEN,0,Erika Damsbo,DEN
World Archery Championship 2021,Compound Women,Round of 96,Esmeralda Sanchez,MEX,143,Etsuko Miyata,JPN,139,Esmeralda Sanchez,MEX
World Archery Championship 2021,Compound Women,Round of 96,BYE,,0,Andrea Becerra,MEX,0,Andrea Becerra,MEX
World Archery Championship 2021,Compound Women,Round of 96,Linda Ochoa-Anderson,USA,0,BYE,,0,Linda Ochoa-Anderson,USA
World Archery Championship 2021,Compound Women,Round of 96,Rita Pereira,POR,134,Paola Natale,ITA,144,Paola Natale,ITA
World Archery Championship 2021,Compound Women,Round of 96,Carolin Landesfeind,GER,137,Astrid Barria,PAN,130,Carolin Landesfeind,GER
World Archery Championship 2021,Compound Women,Round of 96,BYE,,0,Layla Annison,GBR,0,Layla Annison,GBR
World Archery Championship 2021,Compound Women,Round of 96,Maris Tetsmann,EST,0,BYE,,0,Maris Tetsmann,EST
World Archery Championship 2021,Compound Women,Round of 96,BYE,,0,Yun Soo Song,KOR,0,Yun Soo Song,KOR
World Archery Championship 2021,Compound Women,Round of 96,BYE,,0,BYE,,0,,
World Archery Championship 2021,Compound Women,Round of 96,BYE,,0,Ella Gibson,GBR,0,Ella Gibson,GBR
World Archery Championship 2021,Recurve Men,Quarterfinal,Great Britain,GBR,5,Belgium,BEL,3,Great Britain,GBR
World Archery Championship 2021,Recurve Men,Quarterfinal,India,IND,3,Chinese Taipei,TPE,5,Chinese Taipei,TPE
World Archery Championship 2021,Recurve Men,Quarterfinal,France,FRA,5,Türkiye,TUR,4,France,FRA
World Archery Championship 2021,Recurve Men,Quarterfinal,Japan,JPN,5,RAF,RAF,3,Japan,JPN
World Archery Championship 2021,Recurve Men,Quarterfinal,Spain,ESP,6,Ukraine,UKR,0,Spain,ESP
World Archery Championship 2021,Recurve Men,Quarterfinal,Mexico,MEX,0,United States of America,USA,6,United States of America,USA
World Archery Championship 2021,Recurve Men,Elimination Round,Republic of Korea,KOR,0,BYE,,0,Republic of Korea,KOR
World Archery Championship 2021,Recurve Men,Elimination Round,Slovenia,SLO,0,Germany,GER,6,Germany,GER
World Archery Championship 2021,Recurve Men,Elimination Round,Brazil,BRA,6,Guatemala,GUA,0,Brazil,BRA
World Archery Championship 2021,Recurve Men,Elimination Round,BYE,,0,Italy,ITA,0,Italy,ITA
World Archery Championship 2021,Recurve Men,Elimination Round,Great Britain,GBR,0,BYE,,0,Great Britain,GBR
World Archery Championship 2021,Recurve Men,Elimination Round,Belgium,BEL,5,Bangladesh,BAN,3,Belgium,BEL
