event_name,name,state/unit
RECURVE (MEN),Neeraj chauhan,AIPSCB
RECURVE (MEN),BOMMADEVARA DHIRAJ,SSCB
RECURVE (MEN),Atanu Das,PSPB
RECURVE (MEN),Tarundeeep Rai,Sikkim
RECURVE (MEN),Sukhchain Singh,SSCB
RECURVE (MEN),Shrey Bhardwaj,AIPSCB
RECURVE (MEN),L.R.SMARAN SARVESH,Tamilnadu
RECURVE (MEN),Goldi Mishra,Jharkhand
RECURVE (MEN),Atul Verma,Uttarakhand
RECURVE (MEN),Mrinal Chauhan,Uttar Pradesh
RECURVE (MEN),atharva sharma,Rajasthan
RECURVE (MEN),Sachin Vedwan,Mizoram
RECURVE (MEN),Paras hooda,Haryana
RECURVE (MEN),Dhaniram basumatary,Assam
RECURVE (MEN),Dhruv bagga,Delhi
RECURVE (MEN),Mukesh boro,AIPSCB
RECURVE (MEN),Jayanta Talukdar,Assam
RECURVE (MEN),Shukmani Babrekar,RSPB
RECURVE (MEN),ARJUNA KHARA,Odisha
RECURVE (MEN),Amit kumar,Madhya Pradesh
RECURVE (MEN),Rahul,SSCB
RECURVE (MEN),Nitin Kumar Yadav,Madhya Pradesh
RECURVE (MEN),BULU MALLICK,Odisha
RECURVE (MEN),Yashdeep Bhoge,RSPB
RECURVE (MEN),kamal sagar,Delhi
RECURVE (MEN),hurdub tiriya,Jharkhand
RECURVE (MEN),KODANDAPANI THARUNEESH JATHYA,Andhra Pradesh
RECURVE (MEN),Vivek Sunar,Meghalaya
RECURVE (MEN),Agastay singh,Haryana
RECURVE (MEN),Divyansh Chaudhary,Haryana
RECURVE (MEN),RAIROTH SAI MOURYA,Andhra Pradesh
RECURVE (MEN),Chingakham Achanba Singh,Arunachal Pradesh
RECURVE (MEN),Ujwal bharat olekar,Maharashtra
RECURVE (MEN),GITESH YADAV,Chhattisgarh
RECURVE (MEN),Basant kumar,Haryana
RECURVE (MEN),Nameirakpam Subhachandra Meitei,Manipur
RECURVE (MEN),Pawan,RSPB
RECURVE (MEN),Nitin Kumar Yadav,Madhya Pradesh
RECURVE (MEN),Tejas gupta,Madhya Pradesh
RECURVE (MEN),Pavan parmar,Madhya Pradesh
RECURVE (MEN),atharva sharma,Rajasthan
RECURVE (MEN),MAHESH KUMAWAT,Rajasthan
RECURVE (MEN),Ajay kumar nagarwal,Rajasthan
RECURVE (MEN),Anuj Bhambhu,Rajasthan
RECURVE (MEN),Mrinal Chauhan,Uttar Pradesh
RECURVE (MEN),shailendra kumar,Uttar Pradesh
RECURVE (MEN),Arvind Chaudhary,Uttar Pradesh
RECURVE (MEN),Preyansh,Uttar Pradesh
RECURVE (MEN),Vivek Sunar,Meghalaya
RECURVE (MEN),Hypormi wanniang,Meghalaya
RECURVE (MEN),Devraj Mohaptra,Meghalaya
RECURVE (MEN),Amebalaker,Meghalaya
RECURVE (MEN),ARJUNA KHARA,Odisha
RECURVE (MEN),BULU MALLICK,Odisha
RECURVE (MEN),SOMANATH HEMBRAM,Odisha
RECURVE (MEN),KRUSHNA MUNDA,Odisha
RECURVE (MEN),Shubham Kumar,Bihar
RECURVE (MEN),Samarth Kumar,Bihar
RECURVE (MEN),Gajendar Hembram,Bihar
RECURVE (MEN),SANTOSH KUMAR,Bihar
RECURVE (MEN),BALLE GANGARAJU,Telangana
RECURVE (MEN),Neeli ashok,Telangana
RECURVE (MEN),SAMUDRALA AKHIL,Telangana
RECURVE (MEN),Kola achuth,Telangana
RECURVE (MEN),Tarundeep Rai,Sikkim
RECURVE (MEN),Suresh Kumar Gurung,Sikkim
RECURVE (MEN),Putul Barman,Sikkim
RECURVE (MEN),Sadit hang Subba,Sikkim
RECURVE (MEN),Vijay Singh,Chandigarh
RECURVE (MEN),Divyansh Kumar,Chandigarh
RECURVE (MEN),Jitender Singh,Chandigarh
RECURVE (MEN),Abhishek Singh Tanwar,Chandigarh
RECURVE (MEN),Aditya choudhary,Punjab
RECURVE (MEN),Aditya wadhwa,Punjab
RECURVE (MEN),Harjot singh,Punjab
RECURVE (MEN),Jaswinder singh,Punjab
RECURVE (MEN),Nameirakpam Subhachandra Meitei,Manipur
RECURVE (MEN),Takhellambam Sen Meitei,Manipur
RECURVE (MEN),Leishangthem Yuhenba Meetei,Manipur
RECURVE (MEN),Paikhomba Chongtham,Manipur
RECURVE (MEN),Ujwal bharat olekar,Maharashtra
RECURVE (MEN),DNYANESH BALAJI CHERALE,Maharashtra
RECURVE (MEN),Swaraj Rajendra Jangam,Maharashtra
RECURVE (MEN),Sahil Laxman shelar,Maharashtra
RECURVE (MEN),Atul Verma,Uttarakhand
RECURVE (MEN),Chaitanya Sati,Uttarakhand
RECURVE (MEN),Kartik Rana,Uttarakhand
RECURVE (MEN),Tikendra chand,Uttarakhand
RECURVE (MEN),GITESH YADAV,Chhattisgarh
RECURVE (MEN),Shreeyansh Verma,Chhattisgarh
RECURVE (MEN),Aakash Raj Sorthe,Chhattisgarh
RECURVE (MEN),VIKAS KUMAR,Chhattisgarh
RECURVE (MEN),Juyel Sarkar,West Bengal
RECURVE (MEN),Dhananjoy Roy,West Bengal
RECURVE (MEN),Souvik Mandal,West Bengal
RECURVE (MEN),Abir Ghosh,West Bengal
RECURVE (MEN),DIVYANSH SURI,Jammu & Kashmir
RECURVE (MEN),NITEEN SHARMA,Jammu & Kashmir
RECURVE (MEN),Vishal Singh,Jammu & Kashmir
RECURVE (MEN),Abhinav Bakshi,Jammu & Kashmir
RECURVE (MEN),PRATIK KUMAR SAHA,SPSB
RECURVE (MEN),GIRINDRA VIKRAM BASKEY,SPSB
RECURVE (MEN),Adarsh Prasad,SPSB
RECURVE (MEN),Ronak lakra,SPSB
RECURVE (MEN),Sachin Vedwan,Mizoram
RECURVE (MEN),Keshab Roka Magar,Mizoram
RECURVE (MEN),Jonathan Lawmsanga,Mizoram
RECURVE (MEN),Ashok lama,Mizoram
RECURVE (MEN),Ajith babu,Kerala
RECURVE (MEN),RAJEEV M,Kerala
RECURVE (MEN),diljith,Kerala
RECURVE (MEN),Solaman Thomas,Kerala
RECURVE (MEN),Sunil Bahadur,ESIC CSCB
RECURVE (MEN),G LAXMAN,ESIC CSCB
RECURVE (MEN),Abi Johnson A,ESIC CSCB
RECURVE (MEN),Prathit Rajendra Rasulia,Daman & Diu
RECURVE (MEN),Dhruv Dhiraj mitna,Daman & Diu
RECURVE (MEN),MIHIR VALAJI BAMANIYA,Daman & Diu
RECURVE (MEN),Chingakham Achanba Singh,Arunachal Pradesh
RECURVE (MEN),Tikap Nokhi,Arunachal Pradesh
RECURVE (MEN),Wangsun Hakhun,Arunachal Pradesh
RECURVE (MEN),HRITHICK S M,Pondicherry
RECURVE (MEN),Hitesh kurmi,Pondicherry
RECURVE (WOMEN),Ankita Bhakat,Jharkhand
RECURVE (WOMEN),Simranjeet kaur,Punjab
RECURVE (WOMEN),Deepika kumari,PSPB
RECURVE (WOMEN),Komalika Bari,Jharkhand
RECURVE (WOMEN),Anshika Kumari,Bihar
RECURVE (WOMEN),TISHA PUNIA,RSPB
RECURVE (WOMEN),KONDAPAVULURI YUKTHA SRI,Andhra Pradesh
RECURVE (WOMEN),Gunjan kumari,AIPSB
RECURVE (WOMEN),Sharvari Somnath Shende,Maharashtra
RECURVE (WOMEN),Madhu vedwan,RSPB
RECURVE (WOMEN),BHAJAN KAUR,Haryana
RECURVE (WOMEN),PRANJAL THOLIYA,Rajasthan
RECURVE (WOMEN),Anisha das,Assam
RECURVE (WOMEN),KRATIKA BICHPURIYA,Madhya Pradesh
RECURVE (WOMEN),Sharanya ambre,Goa
RECURVE (WOMEN),Jahnvi Deshmukh,Madhya Pradesh
RECURVE (WOMEN),SONIYA THAKUR,Madhya Pradesh
RECURVE (WOMEN),Basanti Mahato,West Bengal
RECURVE (WOMEN),Bhavna,Haryana
RECURVE (WOMEN),Gatha Anandrao Khadake,Maharashtra
RECURVE (WOMEN),VAISHNAVI BABARAO PAWAR,Maharashtra
RECURVE (WOMEN),BHAGORA BHARGAVI VARGISHKUMAR,Gujarat
RECURVE (WOMEN),Sonali Basumatary,Assam
RECURVE (WOMEN),Diksha Nayak,Chhattisgarh
RECURVE (WOMEN),Avni,Haryana
RECURVE (WOMEN),Tamnna Deshwal,Haryana
RECURVE (WOMEN),PADHIYAR MAITRIBEN ARVINDBHAI,Gujarat
RECURVE (WOMEN),Rimil Hembram,West Bengal
RECURVE (WOMEN),Monika saren,RSPB
RECURVE (WOMEN),Amandeep Kaur,Rajasthan
RECURVE (WOMEN),VITASA THAKUR,Madhya Pradesh
RECURVE (WOMEN),Promila daimary,AIPSB
RECURVE (WOMEN),HARPREET KAUR,Rajasthan
RECURVE (WOMEN),YADAV PREETI,Gujarat
RECURVE (WOMEN),Baria premilaben,Gujarat
RECURVE (WOMEN),Anisha das,Assam
RECURVE (WOMEN),Sonali Basumatary,Assam
RECURVE (WOMEN),Akhapwr basumatary,Assam
RECURVE (WOMEN),SHIMANTIKA RABHA,Assam
RECURVE (WOMEN),Simranjeet kaur,Punjab
RECURVE (WOMEN),Veerpal kaur,Punjab
RECURVE (WOMEN),Krishman Modgill,Punjab
RECURVE (WOMEN),JASMEET KAUR,Punjab
RECURVE (WOMEN),Basanti Mahato,West Bengal
RECURVE (WOMEN),Rimil Hembram,West Bengal
RECURVE (WOMEN),RUMA BISWAS,West Bengal
RECURVE (WOMEN),Purbasa Paul,West Bengal
RECURVE (WOMEN),TAMANNA VERMA,Jharkhand
RECURVE (WOMEN),Ayushi Kadyan,Chandigarh
RECURVE (WOMEN),MAMITA ORAM,Odisha
RECURVE (WOMEN),MANASWARI HASDAK,Odisha
RECURVE (WOMEN),kshma pisda,Chhattisgarh
RECURVE (WOMEN),Anamika Suresh,Kerala
RECURVE (WOMEN),Alakananda U,Kerala
RECURVE (WOMEN),JESNA K J,Kerala
RECURVE (WOMEN),Damanda shisha pasi,Meghalaya
RECURVE (WOMEN),Navydisha Kokil Kapoor,Meghalaya
RECURVE (WOMEN),Daphishisha Marngar,Meghalaya
RECURVE (WOMEN),TADIBOINA VYSHNAVI,Andhra Pradesh
RECURVE (WOMEN),KUNDERU CHANDRA HASINI,Andhra Pradesh
RECURVE (WOMEN),TADIBOINA BHUVANA RAJESWARI,Andhra Pradesh
RECURVE (WOMEN),Ritu Kumari,SPSB
RECURVE (WOMEN),Swati kumari,SPSB
RECURVE (WOMEN),Rani kumari,Bihar
RECURVE (WOMEN),Arpana Gupta,Bihar
RECURVE (WOMEN),Kriti Tewatia,Chandigarh
RECURVE (WOMEN),GUNCHA ASHRI,Chandigarh
RECURVE (WOMEN),Vemunuri sharada,Telangana
RECURVE (WOMEN),vindhya Gurrala,Telangana
RECURVE (WOMEN),Samala Nageshwari,Telangana
RECURVE (WOMEN),PADALA VIJAYALAKSHMI,Telangana
RECURVE (WOMEN),VIDYA KUMAR I,Mizoram
RECURVE (WOMEN),Thounaojam Shwasita Devi,Manipur
RECURVE (WOMEN),Wangkhem malesori devi,Manipur
RECURVE (WOMEN),Laiphrakpam Rabina Devi,Manipur
RECURVE (WOMEN),YUMNAM SANAMANBI CHANU,Manipur
RECURVE (WOMEN),SHWETA SINGH,Delhi
