championship_name,event_name,round_name,player_a,player_a_dob,player_a_state,score_a,player_b,player_b_dob,player_b_state,score_b,winner,winner_dob,winner_state
"30TH NTPC SENIOR INDIAN ROUND, 43RD NTPC SENIOR RECURVE AND 19TH NTPC SENIOR COMPOUND NATIONAL (M&W) ARCHERY CHAMPIONSHIP",COMPOUND MEN,QUARTER-FINAL,PRATHAMESH BHALCHANDRA FUGE,2002-12-28,MAHARASHTRA,146,ABHISHEK VERMA,1989-06-26,DELHI,148,ABHISHEK VERMA,1989-06-26,MAHARASHTRA
"30TH NTPC SENIOR INDIAN ROUND, 43RD NTPC SENIOR RECURVE AND 19TH NTPC SENIOR COMPOUND NATIONAL (M&W) ARCHERY CHAMPIONSHIP",COMPOUND MEN,QUARTER-FINAL,RITIK CHAHAL,2003-10-12,DELHI,145,PRATHAMESH SAMADHAN JAWKAR,2003-09-08,MAHARASHTRA,148,PRATHAMESH SAMADHAN JAWKAR,2003-09-08,DELHI
"30TH NTPC SENIOR INDIAN ROUND, 43RD NTPC SENIOR RECURVE AND 19TH NTPC SENIOR COMPOUND NATIONAL (M&W) ARCHERY CHAMPIONSHIP",COMPOUND MEN,QUARTER-FINAL,PRIYANSH,2003-03-22,DELHI,146,ANKIT YADAV,2004-07-11,RAJASTHAN,145,PRIYANSH,2003-03-22,DELHI
"30TH NTPC SENIOR INDIAN ROUND, 43RD NTPC SENIOR RECURVE AND 19TH NTPC SENIOR COMPOUND NATIONAL (M&W) ARCHERY CHAMPIONSHIP",COMPOUND MEN,QUARTER-FINAL,RAJAT CHAUHAN,1994-12-30,AIPSCB,149,OJAS PRAVIN DEOTALE,2002-06-18,MAHARASHTRA,145,RAJAT CHAUHAN,1994-12-30,AIPSCB
"30TH NTPC SENIOR INDIAN ROUND, 43RD NTPC SENIOR RECURVE AND 19TH NTPC SENIOR COMPOUND NATIONAL (M&W) ARCHERY CHAMPIONSHIP",COMPOUND MEN,SEMI-FINAL,ABHISHEK VERMA,1989-06-26,DELHI,148,PRATHAMESH SAMADHAN JAWKAR,2003-09-08,MAHARASHTRA,145,ABHISHEK VERMA,1989-06-26,DELHI
"30TH NTPC SENIOR INDIAN ROUND, 43RD NTPC SENIOR RECURVE AND 19TH NTPC SENIOR COMPOUND NATIONAL (M&W) ARCHERY CHAMPIONSHIP",COMPOUND MEN,SEMI-FINAL,PRIYANSH,2003-03-22,DELHI,146,RAJAT CHAUHAN,1994-12-30,AIPSCB,148,RAJAT CHAUHAN,1994-12-30,DELHI
"30TH NTPC SENIOR INDIAN ROUND, 43RD NTPC SENIOR RECURVE AND 19TH NTPC SENIOR COMPOUND NATIONAL (M&W) ARCHERY CHAMPIONSHIP",COMPOUND MEN,FINAL,ABHISHEK VERMA,1989-06-26,DELHI,148,RAJAT CHAUHAN,1994-12-30,AIPSCB,149,RAJAT CHAUHAN,1994-12-30,DELHI
"30TH NTPC SENIOR INDIAN ROUND, 43RD NTPC SENIOR RECURVE AND 19TH NTPC SENIOR COMPOUND NATIONAL (M&W) ARCHERY CHAMPIONSHIP",COMPOUND MEN TEAM,1/8 FINAL,OJAS PRAVIN DEOTALE,2002-06-18,MAHARASHTRA,234,HARSH KUMAR,2007-01-04,CHANDIGARH,227,OJAS PRAVIN DEOTALE,2002-06-18,MAHARASHTRA
"30TH NTPC SENIOR INDIAN ROUND, 43RD NTPC SENIOR RECURVE AND 19TH NTPC SENIOR COMPOUND NATIONAL (M&W) ARCHERY CHAMPIONSHIP",COMPOUND MEN TEAM,1/8 FINAL,OJAS PRAVIN DEOTALE,2002-06-18,MAHARASHTRA,234,NAVEEN,1998-11-19,CHANDIGARH,227,OJAS PRAVIN DEOTALE,2002-06-18,MAHARASHTRA
"30TH NTPC SENIOR INDIAN ROUND, 43RD NTPC SENIOR RECURVE AND 19TH NTPC SENIOR COMPOUND NATIONAL (M&W) ARCHERY CHAMPIONSHIP",COMPOUND MEN TEAM,1/8 FINAL,OJAS PRAVIN DEOTALE,2002-06-18,MAHARASHTRA,234,AKASHDEEP,2004-01-07,CHANDIGARH,227,OJAS PRAVIN DEOTALE,2002-06-18,MAHARASHTRA
"30TH NTPC SENIOR INDIAN ROUND, 43RD NTPC SENIOR RECURVE AND 19TH NTPC SENIOR COMPOUND NATIONAL (M&W) ARCHERY CHAMPIONSHIP",COMPOUND MEN TEAM,1/8 FINAL,PRATHAMESH BHALCHANDRA FUGE,2002-12-28,MAHARASHTRA,234,HARSH KUMAR,2007-01-04,CHANDIGARH,227,PRATHAMESH BHALCHANDRA FUGE,2002-12-28,MAHARASHTRA
"30TH NTPC SENIOR INDIAN ROUND, 43RD NTPC SENIOR RECURVE AND 19TH NTPC SENIOR COMPOUND NATIONAL (M&W) ARCHERY CHAMPIONSHIP",COMPOUND MEN TEAM,1/8 FINAL,PRATHAMESH BHALCHANDRA FUGE,2002-12-28,MAHARASHTRA,234,NAVEEN,1998-11-19,CHANDIGARH,227,PRATHAMESH BHALCHANDRA FUGE,2002-12-28,MAHARASHTRA
"30TH NTPC SENIOR INDIAN ROUND, 43RD NTPC SENIOR RECURVE AND 19TH NTPC SENIOR COMPOUND NATIONAL (M&W) ARCHERY CHAMPIONSHIP",COMPOUND MEN TEAM,1/8 FINAL,PRATHAMESH BHALCHANDRA FUGE,2002-12-28,MAHARASHTRA,234,AKASHDEEP,2004-01-07,CHANDIGARH,227,PRATHAMESH BHALCHANDRA FUGE,2002-12-28,MAHARASHTRA
"30TH NTPC SENIOR INDIAN ROUND, 43RD NTPC SENIOR RECURVE AND 19TH NTPC SENIOR COMPOUND NATIONAL (M&W) ARCHERY CHAMPIONSHIP",COMPOUND MEN TEAM,1/8 FINAL,HRITIK SHARMA,2002-05-19,JAMMU & KASHMIR,234,SHUBHAM DAS,1999-07-30,RSPB,232,HRITIK SHARMA,2002-05-19,JAMMU & KASHMIR
"30TH NTPC SENIOR INDIAN ROUND, 43RD NTPC SENIOR RECURVE AND 19TH NTPC SENIOR COMPOUND NATIONAL (M&W) ARCHERY CHAMPIONSHIP",COMPOUND MEN TEAM,1/8 FINAL,HRITIK SHARMA,2002-05-19,JAMMU & KASHMIR,234,Y CHARAN REDDY,1994-11-15,RSPB,232,HRITIK SHARMA,2002-05-19,JAMMU & KASHMIR
"30TH NTPC SENIOR INDIAN ROUND, 43RD NTPC SENIOR RECURVE AND 19TH NTPC SENIOR COMPOUND NATIONAL (M&W) ARCHERY CHAMPIONSHIP",COMPOUND MEN TEAM,1/8 FINAL,HRITIK SHARMA,2002-05-19,JAMMU & KASHMIR,234,SAGAR CHOPRA,1997-03-10,RSPB,232,HRITIK SHARMA,2002-05-19,JAMMU & KASHMIR
"30TH NTPC SENIOR INDIAN ROUND, 43RD NTPC SENIOR RECURVE AND 19TH NTPC SENIOR COMPOUND NATIONAL (M&W) ARCHERY CHAMPIONSHIP",COMPOUND MEN TEAM,1/8 FINAL,AMIT THAKUR,2000-11-28,JAMMU & KASHMIR,234,SHUBHAM DAS,1999-07-30,RSPB,232,AMIT THAKUR,2000-11-28,JAMMU & KASHMIR
"30TH NTPC SENIOR INDIAN ROUND, 43RD NTPC SENIOR RECURVE AND 19TH NTPC SENIOR COMPOUND NATIONAL (M&W) ARCHERY CHAMPIONSHIP",COMPOUND MEN TEAM,1/8 FINAL,AMIT THAKUR,2000-11-28,JAMMU & KASHMIR,234,Y CHARAN REDDY,1994-11-15,RSPB,232,AMIT THAKUR,2000-11-28,JAMMU & KASHMIR
