championship_name,event,round_name,player_a,player_a_country,score_a,player_b,player_b_country,score_b,winner,winner_country
Archery at the 2022 Asian Games,RECURVE MEN INDIVIDUAL,QUARTERFINAL,Lee Woo-seok,KOR,6,Amirkhon Sadikov,UZB,2,Lee Woo-seok,KOR
Archery at the 2022 Asian Games,RECURVE MEN INDIVIDUAL,QUARTERFINAL,Qi Xiangshuo,CHN,6,Atanu Das,IND,5,Qi Xiangshuo,CHN
Archery at the 2022 Asian Games,RECURVE MEN INDIVIDUAL,QUARTERFINAL,Ilfat Abdullin,KAZ,6,Dhiraj Bommadevara,IND,5,Ilfat Abdullin,KAZ
Archery at the 2022 Asian Games,RECURVE MEN INDIVIDUAL,QUARTERFINAL,Riau Ega Agata,IDN,0,Baatarkhuyagiin Otgonbold,MNG,6,Baatarkhuyagiin Otgonbold,MNG
Archery at the 2022 Asian Games,RECURVE MEN INDIVIDUAL,SEMI-FINAL,Lee Woo-seok,KOR,5,Qi Xiangshuo,CHN,6,Qi Xiangshuo,CHN
Archery at the 2022 Asian Games,RECURVE MEN INDIVIDUAL,SEMI-FINAL,Ilfat Abdullin,KAZ,2,Baatarkhuyagiin Otgonbold,MNG,6,Baatarkhuyagiin Otgonbold,MNG
Archery at the 2022 Asian Games,RECURVE MEN INDIVIDUAL,GOLD MEDAL MATCH,Qi Xiangshuo,CHN,2,Baatarkhuyagiin Otgonbold,MNG,6,Baatarkhuyagiin Otgonbold,MNG
Archery at the 2022 Asian Games,RECURVE MEN INDIVIDUAL,BRONZE MEDAL MATCH,Lee Woo-seok,KOR,7,Ilfat Abdullin,KAZ,1,Lee Woo-seok,KOR
Archery at the 2022 Asian Games,RECURVE MEN INDIVIDUAL,1/32 ELIMINATION,Tanapat Pathairat,THA,6,Ri Tae-bom,PRK,4,Tanapat Pathairat,THA
Archery at the 2022 Asian Games,RECURVE MEN INDIVIDUAL,1/32 ELIMINATION,Ahmad Khoirul Baasith,IDN,6,Abdumalik Ganiev,TJK,0,Ahmad Khoirul Baasith,IDN
Archery at the 2022 Asian Games,RECURVE MEN INDIVIDUAL,1/32 ELIMINATION,Ulukbek Kursanaliev,KGZ,1,Sagor Islam,BGD,7,Sagor Islam,BGD
Archery at the 2022 Asian Games,RECURVE MEN INDIVIDUAL,1/16 ELIMINATION,Lee Woo-seok,KOR,6,Tanapat Pathairat,THA,2,Lee Woo-seok,KOR
Archery at the 2022 Asian Games,RECURVE MEN INDIVIDUAL,1/16 ELIMINATION,Ahmad Khoirul Baasith,IDN,6,Sagor Islam,BGD,0,Ahmad Khoirul Baasith,IDN
Archery at the 2022 Asian Games,RECURVE MEN INDIVIDUAL,1/8 ELIMINATION,Lee Woo-seok,KOR,7,Ahmad Khoirul Baasith,IDN,1,Lee Woo-seok,KOR
Archery at the 2022 Asian Games,RECURVE MEN INDIVIDUAL,1/32 ELIMINATION,Mansour Alwi,SAU,5,Junya Nakanishi,JPN,6,Junya Nakanishi,JPN
Archery at the 2022 Asian Games,RECURVE MEN INDIVIDUAL,1/32 ELIMINATION,Lê Quốc Phong,VNM,6,Chen Yao Yuy,UZB,2,Lê Quốc Phong,VNM
Archery at the 2022 Asian Games,RECURVE MEN INDIVIDUAL,1/16 ELIMINATION,Amirkhon Sadikov,UZB,6,Junya Nakanishi,JPN,4,Amirkhon Sadikov,UZB
Archery at the 2022 Asian Games,RECURVE MEN INDIVIDUAL,1/16 ELIMINATION,Lê Quốc Phong,VNM,6,Su Yu-yang,TPE,4,Lê Quốc Phong,VNM
Archery at the 2022 Asian Games,RECURVE MEN INDIVIDUAL,1/8 ELIMINATION,Amirkhon Sadikov,UZB,7,Lê Quốc Phong,VNM,3,Amirkhon Sadikov,UZB
Archery at the 2022 Asian Games,RECURVE MEN INDIVIDUAL,1/32 ELIMINATION,Abdalla Al-Ketbi,UAE,2,Zarif Syahir Zolkepeli,MYS,6,Zarif Syahir Zolkepeli,MYS
Archery at the 2022 Asian Games,RECURVE MEN INDIVIDUAL,1/32 ELIMINATION,Dauletkeldi Zhangbyrbay,KAZ,6,Sajeev De Silva,LKA,5,Dauletkeldi Zhangbyrbay,KAZ
Archery at the 2022 Asian Games,RECURVE MEN INDIVIDUAL,1/16 ELIMINATION,Reza Shabani,IRN,6,Zarif Syahir Zolkepeli,MYS,0,Reza Shabani,IRN
Archery at the 2022 Asian Games,RECURVE MEN INDIVIDUAL,1/16 ELIMINATION,Dauletkeldi Zhangbyrbay,KAZ,4,Qi Xiangshuo,CHN,6,Qi Xiangshuo,CHN
Archery at the 2022 Asian Games,RECURVE MEN INDIVIDUAL,1/8 ELIMINATION,Reza Shabani,IRN,2,Qi Xiangshuo,CHN,6,Qi Xiangshuo,CHN
Archery at the 2022 Asian Games,RECURVE MEN INDIVIDUAL,1/32 ELIMINATION,Ali Al-Zaid,KUW,0,Robert Nam,TJK,6,Robert Nam,TJK
Archery at the 2022 Asian Games,RECURVE MEN INDIVIDUAL,1/32 ELIMINATION,Khairul Anuar Mohamad,MYS,7,Abdulrahman Al-Musa,SAU,1,Khairul Anuar Mohamad,MYS
Archery at the 2022 Asian Games,RECURVE MEN INDIVIDUAL,1/16 ELIMINATION,Jason Feliciano,PHL,3,Robert Nam,TJK,7,Robert Nam,TJK
Archery at the 2022 Asian Games,RECURVE MEN INDIVIDUAL,1/16 ELIMINATION,Khairul Anuar Mohamad,MYS,4,Atanu Das,IND,6,Atanu Das,IND
