championship_name,event,round,player_a,state_a,score_a,player_b,state_b,score_b,winner
38th National Games Uttarakhand,Recurve Men Individual,Round 1,Bommadevara Dhiraj,Services Sports Control Board,3,Jitender Rawat,Uttarakhand,7,Jitender Rawat
38th National Games Uttarakhand,Recurve Men Individual,Round 1,Smaran Sarvesh L R,Tamil Nadu,6,Basant Kumar,Haryana,5,Smaran Sarvesh L R
38th National Games Uttarakhand,Recurve Men Individual,Round 1,Paras Hooda,Haryana,2,Harshit Kumar,Uttarakhand,6,Harshit Kumar
38th National Games Uttarakhand,Recurve Men Individual,Round 1,Kartik Rana,Uttarakhand,4,Indra Indra,Services Sports Control Board,6,Indra Indra
38th National Games Uttarakhand,Recurve Men Individual,Round 1,Rahul,Services Sports Control Board,6,Ajay Nagarwal,Rajasthan,2,Rahul
38th National Games Uttarakhand,Recurve Men Individual,Round 1,Dhruv Bagga,Delhi,7,Mahesh Kumawat,Rajasthan,1,Dhruv Bagga
38th National Games Uttarakhand,Recurve Men Individual,Round 1,Takhellambam Meitei,Manipur,6,Sachin Vedwan,Mizoram,2,Takhellambam Meitei
38th National Games Uttarakhand,Recurve Men Individual,Round 1,Kodandapani Jathya,Andhra Pradesh,0,Amit Kumar,Madhya Pradesh,6,Amit Kumar
38th National Games Uttarakhand,Recurve Men Individual,Round 1,Juyel Sarkar,West Bengal,6,Gitesh Yadav,Chhattisgarh,2,Juyel Sarkar
38th National Games Uttarakhand,Recurve Men Individual,Round 1,Rohit Kumar,Uttar Pradesh,6,Bishal Changmai,Assam,5,Rohit Kumar
38th National Games Uttarakhand,Recurve Men Individual,Round 1,Agastay Singh,Haryana,7,Divyansh Chaudhary,Haryana,3,Agastay Singh
38th National Games Uttarakhand,Recurve Men Individual,Round 1,Jayanta Talukdar,Assam,6,Neeraj Chauhan,Uttar Pradesh,0,Jayanta Talukdar
38th National Games Uttarakhand,Recurve Men Individual,Round 1,Goldi Mishra,Jharkhand,6,Shrey Bhardwaj,Jharkhand,4,Goldi Mishra
