championship_name,event,round,player_a,state_a,score_a,player_b,state_b,score_b,winner
37th National Games Goa,Recureve Women Individual,Quarter Final,Tamanna,Haryana,5,Nikki Sharma,Rajasthan,5,
37th National Games Goa,Recureve Women Individual,Quarter Final,Deepika Kumari,Jharkhand,6,Yumnam Devi,Manipur,2,Deepika Kumari
37th National Games Goa,Recureve Women Individual,Quarter Final,BHAGORA VARGISHKUMAR,Gujarat,6,Dipti Kumari,Jharkhand,2,BHAGORA VARGISHKUMAR
37th National Games Goa,Recureve Women Individual,Quarter Final,Sangeeta,Haryana,6,Tanisha Verma,Haryana,2,Sangeeta
37th National Games Goa,Recureve Women Individual,Semi Final,Deepika Kumari,Jharkhand,6,Tamanna,Haryana,4,Deepika Kumari
37th National Games Goa,Recureve Women Individual,Semi Final,Sangeeta,Haryana,6,BHAGORA VARGISHKUMAR,Gujarat,2,Sangeeta
37th National Games Goa,Recureve Women Individual,Final,Sangeeta,Haryana,2,Deepika Kumari,Jharkhand,6,Deepika Kumari
37th National Games Goa,Recureve Women Individual,Winner,Deepika Kumari,Jharkhand,,,,,
37th National Games Goa,Recureve Women Individual,Quarter Final,,,4,,,6,
37th National Games Goa,Recurve Men Individual,Quarter Final,Gora Ho,Services Sports Control Board,6,YASHDEEP BHOGE,Maharashtra,4,Gora Ho
37th National Games Goa,Recurve Men Individual,Quarter Final,ADITYA CHOUDHARY,Punjab,2,MUKESH BORO,Assam,6,MUKESH BORO
37th National Games Goa,Recurve Men Individual,Quarter Final,Robin,Haryana,4,Bhagwat Porte,Chhattisgarh,6,Bhagwat Porte
37th National Games Goa,Recurve Men Individual,Quarter Final,KAPIL,Chandigarh,3,Kartik Rana,Uttarakhand,7,Kartik Rana
37th National Games Goa,Recurve Men Individual,Semi Final,MUKESH BORO,Assam,6,Gora Ho,Services Sports Control Board,5,MUKESH BORO
37th National Games Goa,Recurve Men Individual,Semi Final,Kartik Rana,Uttarakhand,7,Bhagwat Porte,Chhattisgarh,1,Kartik Rana
37th National Games Goa,Recurve Men Individual,Final,Kartik Rana,Uttarakhand,2,MUKESH BORO,Assam,6,MUKESH BORO
37th National Games Goa,Recurve Men Individual,Winner,MUKESH BORO,Assam,,,,,
37th National Games Goa,Recurve Men Individual,Quarter Final,,,3,,,7,
37th National Games Goa,Recureve Women Team,Quarter Final,Ningthoujam Devi / Thohrii Devi / Thounaojam Devi / Yumnam Devi,Manipur,4,Komalika Bari / Dipti Kumari / Deepika Kumari / Aghni Kumari,Jharkhand,4,
37th National Games Goa,Recureve Women Team,Quarter Final,ADITI JAISWAL / MONIKA SAREN / RUMA BISWAS / BASANTI MAHATO,West Bengal,4,Mayuri Vijayakumar / Snegavarshini T / Aishwarya Rajinikanth / Kamana Kumar,Tamil Nadu,4,
37th National Games Goa,Recureve Women Team,Quarter Final,BANOTHU DIVYA / KADIRE SINDHUJA / VINDHYA GURRALA / PADALA LAXMI,Telangana,1,MANJIRI ALONE / SRUSHTI JOGDAND / SHARVARI SHENDE / NAKSHATRAA KHODE,Maharashtra,5,MANJIRI ALONE / SRUSHTI JOGDAND / SHARVARI SHENDE / NAKSHATRAA KHODE
37th National Games Goa,Recureve Women Team,Quarter Final,Tamanna / Ridhi / Sangeeta / Tanisha Verma,Haryana,6,Nandi Devi Shijagurumayum / Sharanya Ambre / Rupal Patel / Monika Singh,Goa,0,Tamanna / Ridhi / Sangeeta / Tanisha Verma
37th National Games Goa,Recureve Women Team,Semi Final,Mayuri Vijayakumar / Snegavarshini T / Aishwarya Rajinikanth / Kamana Kumar,Tamil Nadu,4,Komalika Bari / Dipti Kumari / Deepika Kumari / Aghni Kumari,Jharkhand,5,Komalika Bari / Dipti Kumari / Deepika Kumari / Aghni Kumari
37th National Games Goa,Recureve Women Team,Semi Final,Tamanna / Ridhi / Sangeeta / Tanisha Verma,Haryana,6,MANJIRI ALONE / SRUSHTI JOGDAND / SHARVARI SHENDE / NAKSHATRAA KHODE,Maharashtra,2,Tamanna / Ridhi / Sangeeta / Tanisha Verma
37th National Games Goa,Recureve Women Team,Final,Tamanna / Ridhi / Sangeeta / Tanisha Verma,Haryana,5,Komalika Bari / Dipti Kumari / Deepika Kumari / Aghni Kumari,Jharkhand,4,Tamanna / Ridhi / Sangeeta / Tanisha Verma
37th National Games Goa,Recureve Women Team,Winner,,,,,,,
37th National Games Goa,Recureve Women Team,Quarter Final,MANJIRI ALONE / SRUSHTI JOGDAND / SHARVARI SHENDE / NAKSHATRAA KHODE,Maharashtra,5,Mayuri Vijayakumar / Snegavarshini T / Aishwarya Rajinikanth / Kamana Kumar,Tamil Nadu,4,MANJIRI ALONE / SRUSHTI JOGDAND / SHARVARI SHENDE / NAKSHATRAA KHODE
37th National Games Goa,Inidan Round Women Team,Quarter Final,BOREDDY NIKHITHA / ASHAMSHETTI BHAVANI / VARIKUPPALA SRAVNTHI,Telangana,0,PALLABI DAS / BINAMANI RABHA / TUTUMONI BORO,Assam,6,PALLABI DAS / BINAMANI RABHA / TUTUMONI BORO
37th National Games Goa,Inidan Round Women Team,Quarter Final,RATHWA KUNVARSINGBHAI / BARIA RAVINDRASINH / RATHVA GANPATBHAI,Gujarat,5,Chhavi Rana / SUNITA BHARDWAJ / Akanksha Arya,Uttar Pradesh,3,RATHWA KUNVARSINGBHAI / BARIA RAVINDRASINH / RATHVA GANPATBHAI
37th National Games Goa,Inidan Round Women Team,Quarter Final,Chandmuni Kunkal / Arti Kumari / Varsha Khalkho,Jharkhand,2,SATYAGIRI BHAVANA / NATASHA DUMNE / SAKSHI SONAWANE,Maharashtra,6,SATYAGIRI BHAVANA / NATASHA DUMNE / SAKSHI SONAWANE
37th National Games Goa,Inidan Round Women Team,Quarter Final,Wangkhem Devi / Keisham Devi / Laiphrakpam Devi,Manipur,6,Ritika Kumari / Shanet Sebastian / Nitya Dange,Goa,0,Wangkhem Devi / Keisham Devi / Laiphrakpam Devi
37th National Games Goa,Inidan Round Women Team,Semi Final,RATHWA KUNVARSINGBHAI / BARIA RAVINDRASINH / RATHVA GANPATBHAI,Gujarat,4,PALLABI DAS / BINAMANI RABHA / TUTUMONI BORO,Assam,4,
