championship_name,event,round,player_a,state_a,score_a,player_b,state_b,score_b,winner,winner_state
38th National Games Uttarakhand,Recurve Men Individual,Round 1,"Services Sports Control Board

Bommadevara Dhiraj",,3,"Uttarakhand

Jitender Rawat",,7,"Uttarakhand

Jitender Rawat",
38th National Games Uttarakhand,Recurve Men Individual,Round 1,"Tamil Nadu

Smaran Sarvesh L R",,6,"Haryana

Basant Kumar",,5,"Tamil Nadu

Smaran Sarvesh L R",
38th National Games Uttarakhand,Recurve Men Individual,Round 1,"Haryana

Paras Hooda",,2,"Uttarakhand

Harshit Kumar",,6,"Uttarakhand

Harshit Kumar",
38th National Games Uttarakhand,Recurve Men Individual,Round 1,"Uttarakhand

Kartik Rana",,4,"Services Sports Control Board

Indra Indra",,6,"Services Sports Control Board

Indra Indra",
38th National Games Uttarakhand,Recurve Men Individual,Round 1,"Services Sports Control Board

Rahul",,6,"Rajasthan

Ajay Nagarwal",,2,"Services Sports Control Board

Rahul",
38th National Games Uttarakhand,Recurve Men Individual,Round 1,"Delhi

Dhruv Bagga",,7,"Rajasthan

Mahesh Kumawat",,1,"Delhi

Dhruv Bagga",
38th National Games Uttarakhand,Recurve Men Individual,Round 1,"Manipur

Takhellambam Meitei",,6,"Mizoram

Sachin Vedwan",,2,"Manipur

Takhellambam Meitei",
38th National Games Uttarakhand,Recurve Men Individual,Round 1,"Andhra Pradesh

Kodandapani Jathya",,0,"Madhya Pradesh

Amit Kumar",,6,"Madhya Pradesh

Amit Kumar",
38th National Games Uttarakhand,Recurve Men Individual,Round 1,"West Bengal

Juyel Sarkar",,6,"Chhattisgarh

Gitesh Yadav",,2,"West Bengal

Juyel Sarkar",
38th National Games Uttarakhand,Recurve Men Individual,Round 1,"Uttar Pradesh

Rohit Kumar",,6,"Assam

Bishal Changmai",,5,"Uttar Pradesh

Rohit Kumar",
38th National Games Uttarakhand,Recurve Men Individual,Round 1,"Haryana

Agastay Singh",,7,"Haryana

Divyansh Chaudhary",,3,"Haryana

Agastay Singh",
38th National Games Uttarakhand,Recurve Men Individual,Round 1,"Assam

Jayanta Talukdar",,6,"Uttar Pradesh

Neeraj Chauhan",,0,"Assam

Jayanta Talukdar",
38th National Games Uttarakhand,Recurve Men Individual,Round 1,"Jharkhand

Goldi Mishra",,6,"Jharkhand

Shrey Bhardwaj",,4,"Jharkhand

Goldi Mishra",
38th National Games Uttarakhand,Recurve Men Individual,Round 1,"Maharashtra

Shukmani Babrekar",,4,"Uttarakhand

Atul Verma",,6,"Uttarakhand

Atul Verma",
38th National Games Uttarakhand,Recurve Men Individual,Round 1,"Services Sports Control Board

Sukhchain Singh",,7,"Uttar Pradesh

Aman Yadav",,3,"Services Sports Control Board

Sukhchain Singh",
38th National Games Uttarakhand,Recurve Men Individual,Round 1,"Odisha

Arjuna Khara",,2,"Sikkim

Tarun Rai",,6,"Sikkim

Tarun Rai",
38th National Games Uttarakhand,Recurve Men Individual,Round 2,"Uttarakhand

Jitender Rawat",,0,"Tamil Nadu

Smaran Sarvesh L R",,6,"Tamil Nadu

Smaran Sarvesh L R",
38th National Games Uttarakhand,Recurve Men Individual,Round 2,"Uttarakhand

Harshit Kumar",,0,"Services Sports Control Board

Indra Indra",,6,"Services Sports Control Board

Indra Indra",
38th National Games Uttarakhand,Recurve Men Individual,Round 2,"Services Sports Control Board

Rahul",,7,"Delhi

Dhruv Bagga",,1,"Services Sports Control Board

Rahul",
38th National Games Uttarakhand,Recurve Men Individual,Round 2,"Manipur

Takhellambam Meitei",,6,"Madhya Pradesh

Amit Kumar",,5,"Manipur

Takhellambam Meitei",
38th National Games Uttarakhand,Recurve Men Individual,Round 2,"West Bengal

Juyel Sarkar",,7,"Uttar Pradesh

Rohit Kumar",,3,"West Bengal

Juyel Sarkar",
38th National Games Uttarakhand,Recurve Men Individual,Round 2,"Haryana

Agastay Singh",,0,"Assam

Jayanta Talukdar",,6,"Assam

Jayanta Talukdar",
38th National Games Uttarakhand,Recurve Men Individual,Round 2,"Jharkhand

Goldi Mishra",,6,"Uttarakhand

Atul Verma",,4,"Jharkhand

Goldi Mishra",
38th National Games Uttarakhand,Recurve Men Individual,Round 2,"Services Sports Control Board

Sukhchain Singh",,3,"Sikkim

Tarun Rai",,7,"Sikkim

Tarun Rai",
38th National Games Uttarakhand,Recurve Men Individual,Quarter Final,"Tamil Nadu

Smaran Sarvesh L R",,0,"Services Sports Control Board

Indra Indra",,6,"Services Sports Control Board

Indra Indra",
38th National Games Uttarakhand,Recurve Men Individual,Quarter Final,"Services Sports Control Board

Rahul",,6,"Manipur

Takhellambam Meitei",,0,"Services Sports Control Board

Rahul",
38th National Games Uttarakhand,Recurve Men Individual,Quarter Final,"West Bengal

Juyel Sarkar",,6,"Assam

Jayanta Talukdar",,2,"West Bengal

Juyel Sarkar",
38th National Games Uttarakhand,Recurve Men Individual,Quarter Final,"Jharkhand

Goldi Mishra",,4,"Sikkim

Tarun Rai",,6,"Sikkim

Tarun Rai",
38th National Games Uttarakhand,Recurve Men Individual,Semi Final,"Services Sports Control Board

Indra Indra",,6,"Services Sports Control Board

Rahul",,4,"Services Sports Control Board

Indra Indra",
38th National Games Uttarakhand,Recurve Men Individual,Semi Final,"West Bengal

Juyel Sarkar",,6,"Sikkim

Tarun Rai",,2,"West Bengal

Juyel Sarkar",
38th National Games Uttarakhand,Recurve Men Individual,Final,"West Bengal

Juyel Sarkar",,6,"Services Sports Control Board

Indra Indra",,4,"West Bengal

Juyel Sarkar",
38th National Games Uttarakhand,Recurve Men Individual,Winner,"West Bengal

Juyel Sarkar",,,,,,,
38th National Games Uttarakhand,Recurve Men Individual,Round 1,"Services Sports Control Board

Rahul",,2,"Sikkim

Tarun Rai",,6,"Sikkim

Tarun Rai",
38th National Games Uttarakhand,Compound Men Individual,Round 1,"Delhi

Abhishek Verma",,149,"Uttar Pradesh

Prince Rajput",,147,"Delhi

Abhishek Verma",
38th National Games Uttarakhand,Compound Men Individual,Round 1,"Maharashtra

Prathmesh Fuge",,147,"Rajasthan

Siddharth Dudhwal",,145,"Maharashtra

Prathmesh Fuge",
38th National Games Uttarakhand,Compound Men Individual,Round 1,"Maharashtra

Ojas Deotale",,147,"Jharkhand

Deepak Kumar",,145,"Maharashtra

Ojas Deotale",
38th National Games Uttarakhand,Compound Men Individual,Round 1,"Maharashtra

Sahil Jadhav",,146,"Chhattisgarh

Toman Kumar",,142,"Maharashtra

Sahil Jadhav",
38th National Games Uttarakhand,Compound Men Individual,Round 1,"Delhi

Madhur",,147(9,"Andhra Pradesh

Thirumuru Mani Ratnam",,147(1,,
38th National Games Uttarakhand,Compound Men Individual,Round 1,"Rajasthan

Jasmeet Singh",,145,"Tamil Nadu

Chinnaraju Srither",,139,"Rajasthan

Jasmeet Singh",
