championship_name,event,round_name,round,player_a,player_b,score_a,score_b,winner
Archery at the 2016 Summer Olympics,Men's individual,Section 1,Round of 64,W-j Kim (South Korea),G Sutherland (Zimbabwe),6,0,W-j Kim (South Korea)
Archery at the 2016 Summer Olympics,Men's individual,Section 1,Round of 64,R Ega Agatha (Indonesia),Y Xing (China),7,1,R Ega Agatha (Indonesia)
Archery at the 2016 Summer Olympics,Men's individual,Section 1,Round of 64,X Gu (China),S Duzelbayev (Kazakhstan),4,6,S Duzelbayev (Kazakhstan)
Archery at the 2016 Summer Olympics,Men's individual,Section 1,Round of 64,M Wijaya,M Nespoli (Italy),3,7,M Nespoli (Italy)
Archery at the 2016 Summer Olympics,Men's individual,Section 1,Round of 64,C-h Wei (Chinese Taipei),R Elder (Fiji),6,0,C-h Wei (Chinese Taipei)
Archery at the 2016 Summer Olympics,Men's individual,Section 1,Round of 64,W Thamwong (Thailand),G Jantsan (Mongolia),7,3,W Thamwong (Thailand)
Archery at the 2016 Summer Olympics,Men's individual,Section 1,Round of 64,V Ruban (Ukraine),H Purnama (Indonesia),7,3,V Ruban (Ukraine)
Archery at the 2016 Summer Olympics,Men's individual,Section 1,Round of 64,P Kouassi (Ivory Coast),J-C Valladont (France),4,6,J-C Valladont (France)
Archery at the 2016 Summer Olympics,Men's individual,Section 1,Round of 32,W-j Kim (South Korea),R Ega Agatha (Indonesia),2,6,R Ega Agatha (Indonesia)
Archery at the 2016 Summer Olympics,Men's individual,Section 1,Round of 32,S Duzelbayev (Kazakhstan),M Nespoli (Italy),0,6,M Nespoli (Italy)
Archery at the 2016 Summer Olympics,Men's individual,Section 1,Round of 32,C-h Wei (Chinese Taipei),W Thamwong (Thailand),5 10,6 10+,W Thamwong (Thailand)
Archery at the 2016 Summer Olympics,Men's individual,Section 1,Round of 32,V Ruban (Ukraine),J-C Valladont (France),0,6,J-C Valladont (France)
Archery at the 2016 Summer Olympics,Men's individual,Section 1,Round of 16,R Ega Agatha (Indonesia),M Nespoli (Italy),0,6,M Nespoli (Italy)
Archery at the 2016 Summer Olympics,Men's individual,Section 1,Round of 16,W Thamwong (Thailand),J-C Valladont (France),0,6,J-C Valladont (France)
Archery at the 2016 Summer Olympics,Men's individual,Section 1,Quarter-finals,M Nespoli (Italy),J-C Valladont (France),5 8,6 10,J-C Valladont (France)
Archery at the 2016 Summer Olympics,Men's individual,Section 2,Round of 64,A Das (India),J Muktan (Nepal),6,0,A Das (India)
Archery at the 2016 Summer Olympics,Men's individual,Section 2,Round of 64,A Puentes (Cuba),E Boardman (Mexico),6,4,A Puentes (Cuba)
Archery at the 2016 Summer Olympics,Men's individual,Section 2,Round of 64,L Daniel (France),M Alvariño (Spain),0,6,M Alvariño (Spain)
Archery at the 2016 Summer Olympics,Men's individual,Section 2,Round of 64,D Rezende Xavier,S-y Lee (South Korea),2,6,S-y Lee (South Korea)
Archery at the 2016 Summer Olympics,Men's individual,Section 2,Round of 64,R Soto (Chile),A Prylepau (Belarus),6 10+,5 10,R Soto (Chile)
Archery at the 2016 Summer Olympics,Men's individual,Section 2,Round of 64,B Oliveira (Brazil),A Potts (Australia),6,4,B Oliveira (Brazil)
Archery at the 2016 Summer Olympics,Men's individual,Section 2,Round of 64,M Gazoz (Turkey),P Plihon (France),6 9,5 6,M Gazoz (Turkey)
Archery at the 2016 Summer Olympics,Men's individual,Section 2,Round of 64,A Jensen (Tonga),S van den Berg (Netherlands),3,7,S van den Berg (Netherlands)
Archery at the 2016 Summer Olympics,Men's individual,Section 2,Round of 32,A Das (India),A Puentes (Cuba),6,4,A Das (India)
Archery at the 2016 Summer Olympics,Men's individual,Section 2,Round of 32,M Alvariño (Spain),S-y Lee (South Korea),1,7,S-y Lee (South Korea)
Archery at the 2016 Summer Olympics,Men's individual,Section 2,Round of 32,R Soto (Chile),B Oliveira (Brazil),7,1,R Soto (Chile)
Archery at the 2016 Summer Olympics,Men's individual,Section 2,Round of 32,M Gazoz (Turkey),S van den Berg (Netherlands),3,7,S van den Berg (Netherlands)
Archery at the 2016 Summer Olympics,Men's individual,Section 2,Round of 16,A Das (India),S-y Lee (South Korea),4,6,S-y Lee (South Korea)
Archery at the 2016 Summer Olympics,Men's individual,Section 2,Round of 16,R Soto (Chile),S van den Berg (Netherlands),"5 9,9","6 9,9+",S van den Berg (Netherlands)
Archery at the 2016 Summer Olympics,Men's individual,Section 2,Quarter-finals,S-y Lee (South Korea),S van den Berg (Netherlands),4,6,S van den Berg (Netherlands)
Archery at the 2016 Summer Olympics,Men's individual,Section 3,Round of 64,D Pasqualucci (Italy),A David (Malawi),6,0,D Pasqualucci (Italy)
Archery at the 2016 Summer Olympics,Men's individual,Section 3,Round of 64,A Fernández (Spain),H-w Kao (Chinese Taipei),6,0,A Fernández (Spain)
Archery at the 2016 Summer Olympics,Men's individual,Section 3,Round of 64,D Wang (China),E Malavé (Venezuela),2,6,E Malavé (Venezuela)
Archery at the 2016 Summer Olympics,Men's individual,Section 3,Round of 64,A El-Nemr (Egypt),T Worth (Australia),0,6,T Worth (Australia)
Archery at the 2016 Summer Olympics,Men's individual,Section 3,Round of 64,F Floto (Germany),S Piippo (Finland),6,0,F Floto (Germany)
Archery at the 2016 Summer Olympics,Men's individual,Section 3,Round of 64,A Pila (Colombia),KA Mohamad (Malaysia),0,6,KA Mohamad (Malaysia)
Archery at the 2016 Summer Olympics,Men's individual,Section 3,Round of 64,R van der Ven (Netherlands),P Huston (Great Britain),4,6,P Huston (Great Britain)
