championship_name,event,round_name,round,player_a,player_b,score_a,score_b,winner
Archery at the 2020 Summer Olympics,Women's individual,Section 1,Round of 64,An S (South Korea),M Hourtou (Chad),6,2,An S (South Korea)
Archery at the 2020 Summer Olympics,Women's individual,Section 1,Round of 64,A M dos Santos (Brazil),A Vázquez (Mexico),6,4,A M dos Santos (Brazil)
Archery at the 2020 Summer Olympics,Women's individual,Section 1,Round of 64,C Kaufhold (United States),I de Velasco (Spain),7,3,C Kaufhold (United States)
Archery at the 2020 Summer Olympics,Women's individual,Section 1,Round of 64,Đỗ T A N (Vietnam),R Hayakawa (Japan),5 7,6 8,R Hayakawa (Japan)
Archery at the 2020 Summer Olympics,Women's individual,Section 1,Round of 64,D Kumari (India),Karma (Bhutan),6,0,D Kumari (India)
Archery at the 2020 Summer Olympics,Women's individual,Section 1,Round of 64,A Pavlova (Ukraine),J Mucino-Fernandez (United States),4,6,J Mucino-Fernandez (United States)
Archery at the 2020 Summer Olympics,Women's individual,Section 1,Round of 64,M Jager (Denmark),D Choirunisa (Indonesia),6,2,M Jager (Denmark)
Archery at the 2020 Summer Olympics,Women's individual,Section 1,Round of 64,A Ingley (Australia),K Perova (ROC),1,7,K Perova (ROC)
Archery at the 2020 Summer Olympics,Women's individual,Section 1,Round of 32,An S (South Korea),A M dos Santos (Brazil),7,1,An S (South Korea)
Archery at the 2020 Summer Olympics,Women's individual,Section 1,Round of 32,C Kaufhold (United States),R Hayakawa (Japan),2,6,R Hayakawa (Japan)
Archery at the 2020 Summer Olympics,Women's individual,Section 1,Round of 32,D Kumari (India),J Mucino-Fernandez (United States),6,4,D Kumari (India)
Archery at the 2020 Summer Olympics,Women's individual,Section 1,Round of 32,M Jager (Denmark),K Perova (ROC),3,7,K Perova (ROC)
Archery at the 2020 Summer Olympics,Women's individual,Section 1,Round of 16,An S (South Korea),R Hayakawa (Japan),6,4,An S (South Korea)
Archery at the 2020 Summer Olympics,Women's individual,Section 1,Round of 16,D Kumari (India),K Perova (ROC),6 10,5 7,D Kumari (India)
Archery at the 2020 Summer Olympics,Women's individual,Section 1,Quarter-finals,An S (South Korea),D Kumari (India),6,0,An S (South Korea)
Archery at the 2020 Summer Olympics,Women's individual,Section 2,Round of 64,M Brown (United States),C Schwarz (Germany),6,2,M Brown (United States)
Archery at the 2020 Summer Olympics,Women's individual,Section 2,Round of 64,M Amaistroaie (Romania),Long XQ (China),2,6,Long XQ (China)
Archery at the 2020 Summer Olympics,Women's individual,Section 2,Round of 64,Lin C-e (Chinese Taipei),E Psarra (Greece),6,4,Lin C-e (Chinese Taipei)
Archery at the 2020 Summer Olympics,Women's individual,Section 2,Round of 64,R Pärnat (Estonia),D Baránková (Slovakia),6,4,R Pärnat (Estonia)
Archery at the 2020 Summer Olympics,Women's individual,Section 2,Round of 64,L Barbelin (France),T Andreoli (Italy),6,2,L Barbelin (France)
Archery at the 2020 Summer Olympics,Women's individual,Section 2,Round of 64,S Gomboeva (ROC),G Schloesser (Netherlands),5 8,6 9,G Schloesser (Netherlands)
Archery at the 2020 Summer Olympics,Women's individual,Section 2,Round of 64,K Dziominskaya (Belarus),D Siddique (Bangladesh),6 10,5 9,K Dziominskaya (Belarus)
Archery at the 2020 Summer Olympics,Women's individual,Section 2,Round of 64,K Kazlouskaya (Belarus),A Valencia (Mexico),0,6,A Valencia (Mexico)
Archery at the 2020 Summer Olympics,Women's individual,Section 2,Round of 32,M Brown (United States),Long XQ (China),6,0,M Brown (United States)
Archery at the 2020 Summer Olympics,Women's individual,Section 2,Round of 32,Lin C-e (Chinese Taipei),R Pärnat (Estonia),7,3,Lin C-e (Chinese Taipei)
Archery at the 2020 Summer Olympics,Women's individual,Section 2,Round of 32,L Barbelin (France),G Schloesser (Netherlands),6,0,L Barbelin (France)
Archery at the 2020 Summer Olympics,Women's individual,Section 2,Round of 32,K Dziominskaya (Belarus),A Valencia (Mexico),3,7,A Valencia (Mexico)
Archery at the 2020 Summer Olympics,Women's individual,Section 2,Round of 16,M Brown (United States),Lin C-e (Chinese Taipei),6,2,M Brown (United States)
Archery at the 2020 Summer Olympics,Women's individual,Section 2,Round of 16,L Barbelin (France),A Valencia (Mexico),0,6,A Valencia (Mexico)
Archery at the 2020 Summer Olympics,Women's individual,Section 2,Quarter-finals,M Brown (United States),A Valencia (Mexico),6 X,5 10,M Brown (United States)
Archery at the 2020 Summer Olympics,Women's individual,Section 3,Round of 64,Kang C-y (South Korea),A E de los Monteros (Ecuador),6,0,Kang C-y (South Korea)
