championship_name,event,round_name,player_a,player_a_country,score_a,player_b,player_b_country,score_b,winner,winner_country
Archery at the 2020 Summer Olympics,INDIVIDUAL WOMEN,ROUND OF 64,An S,KOR,6,M Hourtou,TCD,2,An S,KOR
Archery at the 2020 Summer Olympics,INDIVIDUAL WOMEN,ROUND OF 64,A M dos Santos,BRA,6,A Vázquez,MEX,4,A M dos Santos,BRA
Archery at the 2020 Summer Olympics,INDIVIDUAL WOMEN,ROUND OF 64,C Kaufhold,USA,7,I de Velasco,ESP,3,C Kaufhold,USA
Archery at the 2020 Summer Olympics,INDIVIDUAL WOMEN,ROUND OF 64,Đỗ T A N,VNM,5 7,R Hayakawa,JPN,6 8,R Hayakawa,JPN
Archery at the 2020 Summer Olympics,INDIVIDUAL WOMEN,ROUND OF 64,D Kumari,IND,6,Karma,BTN,0,D Kumari,IND
Archery at the 2020 Summer Olympics,INDIVIDUAL WOMEN,ROUND OF 64,A Pavlova,UKR,4,J Mucino-Fernandez,USA,6,J Mucino-Fernandez,USA
Archery at the 2020 Summer Olympics,INDIVIDUAL WOMEN,ROUND OF 64,M Jager,DNK,6,D Choirunisa,IDN,2,M Jager,DNK
Archery at the 2020 Summer Olympics,INDIVIDUAL WOMEN,ROUND OF 64,A Ingley,AUS,1,K Perova,ROC,7,K Perova,ROC
Archery at the 2020 Summer Olympics,INDIVIDUAL WOMEN,ROUND OF 32,An S,KOR,7,A M dos Santos,BRA,1,An S,KOR
Archery at the 2020 Summer Olympics,INDIVIDUAL WOMEN,ROUND OF 32,C Kaufhold,USA,2,R Hayakawa,JPN,6,R Hayakawa,JPN
Archery at the 2020 Summer Olympics,INDIVIDUAL WOMEN,ROUND OF 32,D Kumari,IND,6,J Mucino-Fernandez,USA,4,D Kumari,IND
Archery at the 2020 Summer Olympics,INDIVIDUAL WOMEN,ROUND OF 32,M Jager,DNK,3,K Perova,ROC,7,K Perova,ROC
Archery at the 2020 Summer Olympics,INDIVIDUAL WOMEN,ROUND OF 16,An S,KOR,6,R Hayakawa,JPN,4,An S,KOR
Archery at the 2020 Summer Olympics,INDIVIDUAL WOMEN,ROUND OF 16,D Kumari,IND,6 10,K Perova,ROC,5 7,D Kumari,IND
Archery at the 2020 Summer Olympics,INDIVIDUAL WOMEN,QUARTER-FINALS,An S,KOR,6,D Kumari,IND,0,An S,KOR
Archery at the 2020 Summer Olympics,INDIVIDUAL WOMEN,ROUND OF 64,M Brown,USA,6,C Schwarz,DEU,2,M Brown,USA
Archery at the 2020 Summer Olympics,INDIVIDUAL WOMEN,ROUND OF 64,M Amaistroaie,ROU,2,Long XQ,CHN,6,Long XQ,CHN
Archery at the 2020 Summer Olympics,INDIVIDUAL WOMEN,ROUND OF 64,Lin C-e,TPE,6,E Psarra,GRC,4,Lin C-e,TPE
Archery at the 2020 Summer Olympics,INDIVIDUAL WOMEN,ROUND OF 64,R Pärnat,EST,6,D Baránková,SVK,4,R Pärnat,EST
