championship_name,event,round_name,player_a,player_a_country,score_a,player_b,player_b_country,score_b,winner,winner_country
World Archery Championship 2021,Compound Women,Round of 96,Danelle Wentzel-Lutz,South Africa,0,,,0,Danelle Wentzel-Lutz,South Africa
World Archery Championship 2021,Compound Women,Round of 96,,,0,Erika Damsbo,Denmark,0,Erika Damsbo,Denmark
World Archery Championship 2021,Compound Women,Round of 96,Esmeralda Sanchez,Mexico,143,Etsuko Miyata,Japan,139,Esmeralda Sanchez,Mexico
World Archery Championship 2021,Compound Women,Round of 96,,,0,Andrea Becerra,Mexico,0,Andrea Becerra,Mexico
World Archery Championship 2021,Compound Women,Round of 96,Linda Ochoa-Anderson,United States,0,,,0,Linda Ochoa-Anderson,United States
World Archery Championship 2021,Compound Women,Round of 96,Rita Pereira,Portugal,134,Paola Natale,Italy,144,Paola Natale,Italy
World Archery Championship 2021,Compound Women,Round of 96,Carolin Landesfeind,Germany,137,Astrid Barria,Panama,130,Carolin Landesfeind,Germany
World Archery Championship 2021,Compound Women,Round of 96,,,0,Layla Annison,Great Britain,0,Layla Annison,Great Britain
World Archery Championship 2021,Compound Women,Round of 96,Maris Tetsmann,Estonia,0,,,0,Maris Tetsmann,Estonia
World Archery Championship 2021,Compound Women,Round of 96,,,0,Yun Soo Song,South Korea,0,Yun Soo Song,South Korea
World Archery Championship 2021,Compound Women,Round of 96,,,0,,,0,,
World Archery Championship 2021,Compound Women,Round of 96,,,0,Ella Gibson,Great Britain,0,Ella Gibson,Great Britain
World Archery Championship 2021,Recurve Men,Quarterfinal,Tom Hall / Patrick Huston / James Woodgate,Great Britain,5,Ben Adriaensen / Senna Roos / Jarno De Smedt,Belgium,3,Tom Hall / Patrick Huston / James Woodgate,Great Britain
World Archery Championship 2021,Recurve Men,Quarterfinal,Atul Verma / Aditya Choudhary / Parth Sushant Salunkhe,India,3,Chun-Heng Wei / Guan-Lin Yu / Cheng-Hao Hung,Chinese Taipei,5,Chun-Heng Wei / Guan-Lin Yu / Cheng-Hao Hung,Chinese Taipei
World Archery Championship 2021,Recurve Men,Quarterfinal,Thomas Chirault / Clement Jacquey / Lou Thirion,France,5,Mete Gazoz / Samet Ak / Musa Arzuman,Türkiye,4,Thomas Chirault / Clement Jacquey / Lou Thirion,France
