winner,event_name,country,score_a,player_b,player_a,championship_name,score_b,round_name
"Federico Musolesi, Alessandro Paoli, Mauro Nespoli",Recurve Men,ITA,0,"Federico Musolesi, Alessandro Paoli, Mauro Nespoli","Jack Williams, Jackson Mirich, Brady Ellison",World Archery Championship 2023,6,1/8 Eliminations
"Arif Pangestu, Alviyanto Bagas Prastyadi, Riau Ega Agata Salsabilla",Recurve Men,INA,5,"Florian Unruh, Moritz Wieser, Maximilian Weckmueller","Arif Pangestu, Alviyanto Bagas Prastyadi, Riau Ega Agata Salsabilla",World Archery Championship 2023,3,1/8 Eliminations
"Xiangshuo Qi, Dapeng Wang, Zhongyuan Li",Recurve Men,CHN,6,"Peter Boukouvalas, Jai Crawley, Ryan Tyack","Xiangshuo Qi, Dapeng Wang, Zhongyuan Li",World Archery Championship 2023,0,1/8 Eliminations
"Junya Nakanishi, Takaharu Furukawa, Fumiya Saito",Recurve Men,JPN,6,"Yu-Hsuan Tai, Yu-Yang Su, Chih-Chun Tang","Junya Nakanishi, Takaharu Furukawa, Fumiya Saito",World Archery Championship 2023,0,1/8 Eliminations
"Mete Gazoz, Berkim Tumer, Abdullah Yildirmis",Recurve Men,TUR,5,"Miguel Alvarino Garcia, Pablo Acha, Andres Temiño Mediel","Mete Gazoz, Berkim Tumer, Abdullah Yildirmis",World Archery Championship 2023,4,1/8 Eliminations
"Gijs Broeksma, Senna Roos, Steve Wijler",Recurve Men,NED,0,"Gijs Broeksma, Senna Roos, Steve Wijler","Carlos Rojas, Caleb Urbina, Matias Grande",World Archery Championship 2023,6,1/8 Eliminations
"Woo Seok Lee, Je Deok Kim, Woojin Kim",Recurve Men,KOR,0,,"Woo Seok Lee, Je Deok Kim, Woojin Kim",World Archery Championship 2023,0,1/12 Eliminations
"Marcus D’Almeida, Matheus Zwick Ely, Matheus Gomes",Recurve Men,BRA,2,"Marcus D’Almeida, Matheus Zwick Ely, Matheus Gomes","Den Habjan Malavasic, Ziga Ravnikar, Miha Rozic",World Archery Championship 2023,6,1/12 Eliminations
"Tushar Prabhakar Shelke, Dhiraj Bommadevara, Mrinal Chauhan",Recurve Men,IND,5,"Khairul Anuar Mohamad, Muhamad Zarif Syahiir Zolkepeli, Muhammad Syafiq Busthamin","Tushar Prabhakar Shelke, Dhiraj Bommadevara, Mrinal Chauhan",World Archery Championship 2023,4,1/12 Eliminations
"Nicolas Bernardi, Baptiste Addis, Jean-Charles Valladont",Recurve Men,FRA,0,"Nicolas Bernardi, Baptiste Addis, Jean-Charles Valladont",,World Archery Championship 2023,0,1/12 Eliminations
"Jack Williams, Jackson Mirich, Brady Ellison",Recurve Men,USA,0,,"Jack Williams, Jackson Mirich, Brady Ellison",World Archery Championship 2023,0,1/12 Eliminations
"Federico Musolesi, Alessandro Paoli, Mauro Nespoli",Recurve Men,ITA,4,"Federico Musolesi, Alessandro Paoli, Mauro Nespoli","Itay Shanny, Niv Frenkel, Roy Dror",World Archery Championship 2023,5,1/12 Eliminations
